kind	pages	chars	txt	pdf
TEXT	43	16410	FormalLanguageTheory_2021_slides_lect_tfl_12.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_12.pdf
TEXT	36	13074	FormalLanguageTheory_2021_slides_lect_tfl_13.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_13.pdf
TEXT	33	13901	FormalLanguageTheory_2021_slides_lect_tfl_14.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_14.pdf
TEXT	38	14476	FormalLanguageTheory_2021_slides_lect_tfl_15.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_15.pdf
TEXT	24	9151	FormalLanguageTheory_2021_slides_lect_tfl_2.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_2.pdf
TEXT	44	16034	FormalLanguageTheory_2021_slides_lect_tfl_3.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_3.pdf
TEXT	26	11879	FormalLanguageTheory_2021_slides_lect_tfl_4.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_4.pdf
TEXT	27	8630	FormalLanguageTheory_2021_slides_lect_tfl_5.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_5.pdf
TEXT	45	20501	FormalLanguageTheory_2021_slides_lect_tfl_6.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_6.pdf
TEXT	38	16271	FormalLanguageTheory_2021_slides_lect_tfl_7.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_7.pdf
TEXT	20	8636	FormalLanguageTheory_2021_slides_lect_tfl_8.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_8.pdf
TEXT	47	18792	FormalLanguageTheory_2021_slides_lect_tfl_9.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_9.pdf
TEXT	29	15076	FormalLanguageTheory_2022_Automata_Chipollino.txt	references\teacher\FormalLanguageTheory\2022\Automata_Chipollino.pdf
TEXT	34	14244	FormalLanguageTheory_2022_lect_tfl_1.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_1.pdf
TEXT	28	13042	FormalLanguageTheory_2022_lect_tfl_10.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_10.pdf
TEXT	15	5882	FormalLanguageTheory_2022_lect_tfl_11.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_11.pdf
TEXT	30	15514	FormalLanguageTheory_2022_lect_tfl_12.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_12.pdf
TEXT	45	18373	FormalLanguageTheory_2022_lect_tfl_15.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_15.pdf
TEXT	28	12669	FormalLanguageTheory_2022_lect_tfl_2.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_2.pdf
TEXT	43	15211	FormalLanguageTheory_2022_lect_tfl_3.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_3.pdf
TEXT	46	19863	FormalLanguageTheory_2022_lect_tfl_4.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_4.pdf
TEXT	43	16473	FormalLanguageTheory_2022_lect_tfl_5.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_5.pdf
TEXT	43	20462	FormalLanguageTheory_2022_lect_tfl_6.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_6.pdf
TEXT	43	17989	FormalLanguageTheory_2022_lect_tfl_7.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_7.pdf
TEXT	40	15919	FormalLanguageTheory_2022_lect_tfl_8.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_8.pdf
TEXT	86	35942	FormalLanguageTheory_2022_lect_tfl_9.txt	references\teacher\FormalLanguageTheory\2022\lect_tfl_9.pdf
TEXT	17	19394	FormalLanguageTheory_2022_Pharma_2022.txt	references\teacher\FormalLanguageTheory\2022\Pharma_2022.pdf
TEXT	44	19088	FormalLanguageTheory_2022_Refal.txt	references\teacher\FormalLanguageTheory\2022\Refal.pdf
TEXT	18	9339	FormalLanguageTheory_2022_tasks_2022_RK1_data.txt	references\teacher\FormalLanguageTheory\2022\tasks\2022_RK1_data.pdf
TEXT	11	18705	FormalLanguageTheory_2022_tasks_Greibach_NF_revisited.txt	references\teacher\FormalLanguageTheory\2022\tasks\Greibach_NF_revisited.pdf
TEXT	11	6165	FormalLanguageTheory_2022_tasks_lab_tfl_2022_1.txt	references\teacher\FormalLanguageTheory\2022\tasks\lab_tfl_2022_1.pdf
TEXT	32	21767	FormalLanguageTheory_2022_tasks_lab_tfl_2022_2.txt	references\teacher\FormalLanguageTheory\2022\tasks\lab_tfl_2022_2.pdf
TEXT	13	7461	FormalLanguageTheory_2022_tasks_lab_tfl_2022_3.txt	references\teacher\FormalLanguageTheory\2022\tasks\lab_tfl_2022_3.pdf
TEXT	16	9158	FormalLanguageTheory_2022_tasks_lab_tfl_2022_4.txt	references\teacher\FormalLanguageTheory\2022\tasks\lab_tfl_2022_4.pdf
TEXT	11	6523	FormalLanguageTheory_2022_tasks_lab_tfl_2022_5.txt	references\teacher\FormalLanguageTheory\2022\tasks\lab_tfl_2022_5.pdf
TEXT	19	9865	FormalLanguageTheory_2022_tasks_lab_tfl_2022_NULL.txt	references\teacher\FormalLanguageTheory\2022\tasks\lab_tfl_2022_NULL.pdf
TEXT	4	8044	FormalLanguageTheory_2022_tasks_pilling1973_Parikh_image.txt	references\teacher\FormalLanguageTheory\2022\tasks\pilling1973_Parikh_image.pdf
TEXT	1	471	FormalLanguageTheory_2022_tasks_probe_var.txt	references\teacher\FormalLanguageTheory\2022\tasks\probe_var.pdf
TEXT	26	15431	FormalLanguageTheory_2022_tasks_rk1_tfl_homework_2022.txt	references\teacher\FormalLanguageTheory\2022\tasks\rk1_tfl_homework_2022.pdf
TEXT	7	11555	FormalLanguageTheory_2022_tasks_RK2_probe_tasks_solutions.txt	references\teacher\FormalLanguageTheory\2022\tasks\RK2_probe_tasks_solutions.pdf
TEXT	22	12304	FormalLanguageTheory_2022_tasks_rk2_tfl_2022.txt	references\teacher\FormalLanguageTheory\2022\tasks\rk2_tfl_2022.pdf
TEXT	321	588041	FormalLanguageTheory_2023_Esparza_autoskript.txt	references\teacher\FormalLanguageTheory\2023\Esparza_autoskript.pdf
TEXT	11	28109	FormalLanguageTheory_2023_IncrementalLL_Li.txt	references\teacher\FormalLanguageTheory\2023\IncrementalLL_Li.pdf
TEXT	24	12272	FormalLanguageTheory_2023_lab_tfl_2023_1.txt	references\teacher\FormalLanguageTheory\2023\lab_tfl_2023_1.pdf
TEXT	12	8114	FormalLanguageTheory_2023_lab_tfl_2023_2.txt	references\teacher\FormalLanguageTheory\2023\lab_tfl_2023_2.pdf
TEXT	18	13721	FormalLanguageTheory_2023_lab_tfl_2023_3.txt	references\teacher\FormalLanguageTheory\2023\lab_tfl_2023_3.pdf
TEXT	12	8085	FormalLanguageTheory_2023_lab_tfl_2023_4.txt	references\teacher\FormalLanguageTheory\2023\lab_tfl_2023_4.pdf
TEXT	9	4396	FormalLanguageTheory_2023_lab_tfl_2023_5.txt	references\teacher\FormalLanguageTheory\2023\lab_tfl_2023_5.pdf
TEXT	13	7614	FormalLanguageTheory_2023_lab_tfl_null.txt	references\teacher\FormalLanguageTheory\2023\lab_tfl_null.pdf
TEXT	33	15214	FormalLanguageTheory_2023_lect_tfl_1.txt	references\teacher\FormalLanguageTheory\2023\lect_tfl_1.pdf
TEXT	28	12999	FormalLanguageTheory_2023_lect_tfl_10.txt	references\teacher\FormalLanguageTheory\2023\lect_tfl_10.pdf
TEXT	17	6771	FormalLanguageTheory_2023_lect_tfl_11.txt	references\teacher\FormalLanguageTheory\2023\lect_tfl_11.pdf
TEXT	39	21330	FormalLanguageTheory_2023_lect_tfl_12.txt	references\teacher\FormalLanguageTheory\2023\lect_tfl_12.pdf
TEXT	41	22377	FormalLanguageTheory_2023_lect_tfl_2.txt	references\teacher\FormalLanguageTheory\2023\lect_tfl_2.pdf
TEXT	74	33906	FormalLanguageTheory_2023_lect_tfl_3.txt	references\teacher\FormalLanguageTheory\2023\lect_tfl_3.pdf
TEXT	50	20339	FormalLanguageTheory_2023_lect_tfl_5.txt	references\teacher\FormalLanguageTheory\2023\lect_tfl_5.pdf
TEXT	45	19602	FormalLanguageTheory_2023_lect_tfl_7.txt	references\teacher\FormalLanguageTheory\2023\lect_tfl_7.pdf
TEXT	86	35941	FormalLanguageTheory_2023_lect_tfl_9.txt	references\teacher\FormalLanguageTheory\2023\lect_tfl_9.pdf
TEXT	20	24577	FormalLanguageTheory_2023_Pharma_2023.txt	references\teacher\FormalLanguageTheory\2023\Pharma_2023.pdf
TEXT	9	12955	FormalLanguageTheory_2023_RK1_probe_task_solutions.txt	references\teacher\FormalLanguageTheory\2023\RK1_probe_task_solutions.pdf
TEXT	28	16948	FormalLanguageTheory_2023_rk1_tfl_2023.txt	references\teacher\FormalLanguageTheory\2023\rk1_tfl_2023.pdf
TEXT	10	15637	FormalLanguageTheory_2023_RK2_probe_tasks_solutions.txt	references\teacher\FormalLanguageTheory\2023\RK2_probe_tasks_solutions.pdf
TEXT	27	15892	FormalLanguageTheory_2023_rk2_tfl_2023.txt	references\teacher\FormalLanguageTheory\2023\rk2_tfl_2023.pdf
TEXT	72	130435	FormalLanguageTheory_2023_SMTLIB2.txt	references\teacher\FormalLanguageTheory\2023\SMTLIB2.pdf
TEXT	7	4884	FormalLanguageTheory_2024_lab_tfl_2024_1.txt	references\teacher\FormalLanguageTheory\2024\lab_tfl_2024_1.pdf
TEXT	15	10811	FormalLanguageTheory_2024_lab_tfl_2024_2.txt	references\teacher\FormalLanguageTheory\2024\lab_tfl_2024_2.pdf
TEXT	7	3551	FormalLanguageTheory_2024_lab_tfl_2024_3.txt	references\teacher\FormalLanguageTheory\2024\lab_tfl_2024_3.pdf
TEXT	5	3143	FormalLanguageTheory_2024_lab_tfl_2024_4.txt	references\teacher\FormalLanguageTheory\2024\lab_tfl_2024_4.pdf
TEXT	20	24632	FormalLanguageTheory_2024_Pharma_2024.txt	references\teacher\FormalLanguageTheory\2024\Pharma_2024.pdf
TEXT	30	13292	FormalLanguageTheory_2024_rk1_tfl_2024.txt	references\teacher\FormalLanguageTheory\2024\rk1_tfl_2024.pdf
TEXT	30	16473	FormalLanguageTheory_2024_rk2_tfl_2024.txt	references\teacher\FormalLanguageTheory\2024\rk2_tfl_2024.pdf
TEXT	13	9487	FormalLanguageTheory_2024_variants_25Jan.txt	references\teacher\FormalLanguageTheory\2024\variants_25Jan.pdf
TEXT	5	3912	FormalLanguageTheory_2025_consa_rk2_2024.txt	references\teacher\FormalLanguageTheory\2025\consa_rk2_2024.pdf
TEXT	5	4432	FormalLanguageTheory_2025_lab_tfl_2025_1.txt	references\teacher\FormalLanguageTheory\2025\lab_tfl_2025_1.pdf
TEXT	3	3787	FormalLanguageTheory_2025_lab_tfl_2025_2.txt	references\teacher\FormalLanguageTheory\2025\lab_tfl_2025_2.pdf
TEXT	3	2934	FormalLanguageTheory_2025_lab_tfl_2025_3.txt	references\teacher\FormalLanguageTheory\2025\lab_tfl_2025_3.pdf
TEXT	5	4908	FormalLanguageTheory_2025_lab_tfl_2025_4.txt	references\teacher\FormalLanguageTheory\2025\lab_tfl_2025_4.pdf
TEXT	52	67404	FormalLanguageTheory_2025_Lecture1_Slides.txt	references\teacher\FormalLanguageTheory\2025\Lecture1_Slides.pdf
TEXT	41	57222	FormalLanguageTheory_2025_Lecture2_Slides.txt	references\teacher\FormalLanguageTheory\2025\Lecture2_Slides.pdf
TEXT	32	37916	FormalLanguageTheory_2025_Lecture3_Slides.txt	references\teacher\FormalLanguageTheory\2025\Lecture3_Slides.pdf
TEXT	11	12185	FormalLanguageTheory_2025_Lecture4_Slides.txt	references\teacher\FormalLanguageTheory\2025\Lecture4_Slides.pdf
TEXT	13	14134	FormalLanguageTheory_2025_Pharma_2025.txt	references\teacher\FormalLanguageTheory\2025\Pharma_2025.pdf
TEXT	27	10522	FormalLanguageTheory_2025_rk1_tfl_2025.txt	references\teacher\FormalLanguageTheory\2025\rk1_tfl_2025.pdf
TEXT	28	11659	FormalLanguageTheory_2025_rk2_tfl_2025.txt	references\teacher\FormalLanguageTheory\2025\rk2_tfl_2025.pdf
TEXT	16	11788	FormalLanguageTheory_2025_TFL_exam_2025_1.txt	references\teacher\FormalLanguageTheory\2025\TFL_exam_2025_1.pdf
TEXT	16	11666	FormalLanguageTheory_2025_TFL_exam_2025_2.txt	references\teacher\FormalLanguageTheory\2025\TFL_exam_2025_2.pdf
TEXT	8	5939	FormalLanguageTheory_2025_TFL_exam_2025_3.txt	references\teacher\FormalLanguageTheory\2025\TFL_exam_2025_3.pdf
TEXT	5	3545	FormalLanguageTheory_2025_TFL_exam_2025_4.txt	references\teacher\FormalLanguageTheory\2025\TFL_exam_2025_4.pdf
TEXT	11	8129	FormalLanguageTheory_2025_TFL_exam_2025_5.txt	references\teacher\FormalLanguageTheory\2025\TFL_exam_2025_5.pdf
TEXT	16	11326	FormalLanguageTheory_2025_TFL_exam_2025_6.txt	references\teacher\FormalLanguageTheory\2025\TFL_exam_2025_6.pdf
TEXT	20	8772	FormalLanguageTheory_Lecture1_Trace.txt	references\teacher\FormalLanguageTheory\Lecture1_Trace.pdf
TEXT	14	5479	FormalLanguageTheory_Lecture2_Trace.txt	references\teacher\FormalLanguageTheory\Lecture2_Trace.pdf
TEXT	20	9468	FormalLanguageTheory_Lecture3_Trace.txt	references\teacher\FormalLanguageTheory\Lecture3_Trace.pdf
TEXT	528	1179937	TFL-IU9-claude_Hopcroft.txt	references\course\TFL-IU9-claude\Hopcroft.pdf
OCR	49	60330	TFL-IU9-claude_tfl_lec_sem.txt	references\course\TFL-IU9-claude\tfl_lec_sem.pdf
SCAN	5	110	TFL-IU9-claude_tfl_rk1_var_18.txt	references\course\TFL-IU9-claude\tfl_rk1_var_18.pdf
SCAN	5	110	TFL-IU9-claude_tfl_rk1_var_2.txt	references\course\TFL-IU9-claude\tfl_rk1_var_2.pdf
SCAN	6	132	TFL-IU9-claude_tfl_rk1_var_24.txt	references\course\TFL-IU9-claude\tfl_rk1_var_24.pdf
SCAN	5	110	TFL-IU9-claude_tfl_rk1_var_7.txt	references\course\TFL-IU9-claude\tfl_rk1_var_7.pdf
OCR	4	5402	TFL-IU9-claude_РК1_tfl_rk1_var_2_new.txt	references\course\TFL-IU9-claude\РК1\tfl_rk1_var_2_new.pdf
OCR	8	8963	TFL-IU9-claude_РК2_tfl_rk2_var_8.txt	references\course\TFL-IU9-claude\РК2\tfl_rk2_var_8.pdf
TEXT	10	22889	Supplement_Alternating_Automata.txt	references\course\supplemental\Alternating_Automata.pdf
