id	причина	начало
24573	не по делу (счёт 2)	"Там был разговор про упрощение TRS.
Что можно переписать сис"
24574	не по делу (счёт 0)	так что хз, я бы не рисковал, если прям вообще не мерзость
24575	не по делу (счёт 0)	переупорядочить попробуй просто и все
24576	не по делу (счёт 0)	если ничего выходить не будет, можно будет подумать над упро
24580	не по делу (счёт 0)	по какому бы правилу не шёл
24581	не по делу (счёт 0)	а в твоем примере ты получаешь bbab в изначальной системе, а
24583	не по делу (счёт 0)	Мб этого не достаточно, но если не выполняется, то точно пре
24584	не по делу (счёт 2)	хотя если с помощью изначальной trs T можно сделтаь все прео
24585	не по делу (счёт 0)	предполагаю, что достаточно при условии конфлюэнтности систе
24586	не по делу (счёт 0)	но тут утверждать не буду
24587	не по делу (счёт 0)	Вообще странно
24588	не по делу (счёт 0)	да норм
24589	не по делу (счёт 0)	Как тут будет
24590	не по делу (счёт 0)	не
24592	не по делу (счёт 0)	11 строка
24593	не по делу (счёт 0)	f ye lf
24594	не по делу (счёт 0)	а ну да
24595	не по делу (счёт 0)	reduce older rules
24596	не по делу (счёт 0)	может я че не понял
24597	не по делу (счёт 0)	ba не перепишет
24598	не по делу (счёт 0)	ага
24599	не по делу (счёт 2)	рандомно же проверяем можно ли вычеркнуть?
24600	не по делу (счёт 0)	ну тогда она ошиблась
24601	не по делу (счёт 0)	мы вообще не по алгоритму говорим
24602	не по делу (счёт 0)	я о другом уже
24603	не по делу (счёт 0)	Тут вопрос про упрощение трс
24607	не по делу (счёт 0)	чзх
24609	не по делу (счёт 0)	мне не минималость
24610	не по делу (счёт 0)	мне надо построить тау штрих
24611	не по делу (счёт 0)	она по кнуту бендиксу строится же?
24612	не по делу (счёт 0)	Да
24613	не по делу (счёт 0)	типа ты добавляешь новые правила
24614	не по делу (счёт 2)	Но после построения ты должен предъвить не просто тау штрих 
24615	не по делу (счёт 0)	в алгоритме написано как их добавить
24616	не по делу (счёт 0)	ты вот добавил новые правила, но мб некоторые правила лишние
24617	не по делу (счёт 2)	для этого их унжно вычеркнуть
24618	не по делу (счёт 2)	и потом ты должен вычеркнуть какие-то старые
24619	не по делу (счёт 0)	вот как понять какие лишние
24621	не по делу (счёт 2)	Хз она про автомат говорила
24622	не по делу (счёт 0)	потому что я у нее сегодня спросил, она по сути сказала что 
24623	не по делу (счёт 2)	она мне про автомат ниче не говорила
24624	не по делу (счёт 0)	Либо она на ходу новые приколы придумала
24626	не по делу (счёт 0)	я у нее про свою спросил
24627	не по делу (счёт 2)	она сказала очевидно что абса вычеркнуть
24629	не по делу (счёт 2)	так-то оно конечно очевидно, но есть же какой-то способ опре
24632	не по делу (счёт 0)	Это уже не про алгоритм ты?
24633	не по делу (счёт 0)	Это то что Рома говорил
24634	не по делу (счёт 0)	ну почему, это алгоритм пополнения системы
24636	не по делу (счёт 0)	Ты говоришь, что изначальную трс можно упростить. Правила в 
24637	не по делу (счёт 0)	это не про алгоритм
24638	не по делу (счёт 0)	короче, когда ты пополняешь систему новыми правилами по кнут
24639	не по делу (счёт 2)	в алгоритме ты вначале строишь, а потом находишь минимальную
24640	не по делу (счёт 2)	чтобы они не возникали, ты берёшь и вычеркиваешь правила
24641	не по делу (счёт 0)	у тебя тут нет аглоритма еще никакого, ты просто сразу можеш
24642	не по делу (счёт 2)	и с упрощенной завершимость и конечность доказывать
24643	не по делу (счёт 0)	причем тут алгоритм
24644	не по делу (счёт 0)	у меня нельзя
24645	не по делу (счёт 0)	критическая пара abca и abc
24646	не по делу (счёт 5)	abca → aaaa
24647	не по делу (счёт 2)	ABCa →bbba или ABCa →ccca
24648	не по делу (счёт 2)	я просто вычеркнуть не могу, мне надо новое правило добавить
24649	не по делу (счёт 2)	почему ты не можешь abca вычеркнуть из trs сразу?
24650	не по делу (счёт 0)	критическая пара abca и abc
24651	не по делу (счёт 5)	abca → aaaa
24652	не по делу (счёт 2)	ABCa →bbba или ABCa →ccca
24653	не по делу (счёт 0)	сразу с нулевой
24654	не по делу (счёт 0)	вот же
24655	не по делу (счёт 0)	ну типа
24656	не по делу (счёт 0)	а бля я кажется понял о чем ты
24657	не по делу (счёт 0)	да похуй да
24658	не по делу (счёт 0)	ты потом другую пару найдешь
24659	не по делу (счёт 0)	а так ты зачем-то будешь тащить для третьего задания эту хуй
24660	не по делу (счёт 2)	сразу вычеркнул и заврешаемость проще доказывать, конечность
24661	не по делу (счёт 0)	это как раз про что Рома говорил
24662	не по делу (счёт 0)	да я так и сделал
24663	не по делу (счёт 0)	Минимальность это я про другое говорил
24664	не по делу (счёт 2)	когда ты уже все по алгоритму сделал, мб ты лишние парвила к
24665	не по делу (счёт 0)	просто я когда перешел к 3 заданию, разоббрался как пополнят
24666	не по делу (счёт 2)	Вот тут она сказала нужен автомат строить
24667	не по делу (счёт 2)	че за минимальность в конечности?
24668	не по делу (счёт 2)	а хули она мне об автомате не сказала
24669	не по делу (счёт 0)	я у нее спрашивал сегодня
24671	не по делу (счёт 0)	она рофлит что ли
24672	не по делу (счёт 2)	ответить про минимальность на конечнсоти
24673	не по делу (счёт 2)	я вопрос в гитхабе открою про минимальность
24674	не по делу (счёт 2)	когда и что делать. Но для начала мне нужно понять че за мин
24675	не по делу (счёт 0)	это кстати тоже непонятно
24676	не по делу (счёт 2)	наверное минимальность это минимальное количество правил?
24678	не по делу (счёт 0)	ждемс
24682	не по делу (счёт 0)	наверное больше не стоит писать, что она что-то сказала или 
24683	не по делу (счёт 0)	а у меня еще хуже
24684	не по делу (счёт 0)	я ей задавал сегодня вопрос, и забыл что она ответила
24685	не по делу (счёт 0)	спрошу еще раз, скажет ты че дурак
24686	не по делу (счёт 0)	неа
24687	не по делу (счёт 0)	я ей два раща один вопрос залавал
24688	не по делу (счёт 0)	ей норм
24689	не по делу (счёт 0)	просто скажи типа забыл не понял для фиксации напишите плищ
24690	не по делу (счёт 0)	завтра спрошу если надо
24691	не по делу (счёт 0)	щас по йогурту и спать
24692	не по делу (счёт 0)	Ребят, у кого есть записи лекций и семинаров полные. Скиньте
24693	не по делу (счёт 0)	Мы в конечности можем правила местами менять это ОК. Причем 
24694	не по делу (счёт 2)	ребят, конечное число классов эквивалентности это равно коне
24695	не по делу (счёт 0)	если фундированность сохраняется
24696	не по делу (счёт 0)	в конечности вроде вообще по кайфу можно
24697	не по делу (счёт 0)	нууу
24698	не по делу (счёт 0)	я хз
24699	не по делу (счёт 0)	я в конечности фундированный порядок сделал
24700	не по делу (счёт 0)	ну так вроде проще, если армейский делать
24701	не по делу (счёт 0)	но не обязательно же
24705	не по делу (счёт 2)	А еще в кончлюэнтности нужно вернуться к изначальной trs, то
24706	не по делу (счёт 0)	как я понимаю
24707	не по делу (счёт 0)	че?
24711	не по делу (счёт 2)	"если изначально незавершима, то хз че делать.
Я тоже помню, "
24712	не по делу (счёт 2)	а в минимизации ты используешь T', там автомат стоиться и вр
24713	не по делу (счёт 0)	у кого-то есть фотка где она тестирование объясняет?
24715	не по делу (счёт 0)	ну вообще нет
24717	не по делу (счёт 0)	но из aaa и bbb я могу восстановить abc
24718	не по делу (счёт 0)	Не поня
24719	не по делу (счёт 0)	Почему ты не можешь в новой aaa получить, если можешь
24720	не по делу (счёт 0)	ты же не до нф трансформиреуешь, а рандомное количество прео
24721	не по делу (счёт 2)	"у тя все эти правила - фактически эквивалентности
то есть aa"
24722	не по делу (счёт 0)	поэтому иногда в обратную сторону тольок и остаётся возможны
24723	не по делу (счёт 2)	"А почему они эквивалентности?
Мы не можем менять направление"
24724	не по делу (счёт 2)	Такое только в проверке на конечность же млжно
24725	не по делу (счёт 0)	считается что ты делаешь преобразования пока можешь их делат
24726	не по делу (счёт 2)	следовательно раз ты можешь переписать ааа→ссс то делаешь
24727	не по делу (счёт 0)	поэтому нельзя в новой системе получить w', но из w' можно о
24729	не по делу (счёт 0)	А какой у тебя w и w' выходи
24730	не по делу (счёт 2)	"в изначальной w = abc, w' = aaa
в новой w' = aaa я не могу п"
24731	не по делу (счёт 0)	стрелки работают в новой системе в две стороны, поэтому можн
24732	не по делу (счёт 0)	просто если я не прав и это не так, то тестировать нечего
24733	не по делу (счёт 2)	тогда получается лаба говно и расход
24734	не по делу (счёт 0)	А почему стрелки работают в две стороны? Это чёт странно. Я 
24735	не по делу (счёт 0)	Тогда как фундированный порядок проверять
24737	не по делу (счёт 2)	фундированный порядок проверяешь по стрелке вправо →
24738	не по делу (счёт 0)	а почему мы можем вообще в обее стороны то брать в конфлюэнт
24739	не по делу (счёт 0)	вот этот прикол не понимаю
24740	не по делу (счёт 0)	ну ты из за конфлюэнтности вернешься обязательно к изначальн
24741	не по делу (счёт 0)	это означает что правильно построил систему
24742	не по делу (счёт 0)	потому что если неправильно, то ты из w' в w можешь не верну
24747	не по делу (счёт 2)	чуваки, а что если я тупо ввожу лексикографический порядок, 
24749	не по делу (счёт 0)	скажите где не прав
24751	не по делу (счёт 0)	Для этого второй тест сделан вроде. У тебя инварианты заваля
24752	не по делу (счёт 0)	Только я все ещё не понимаю как ты из w' в w придёшь
24753	не по делу (счёт 0)	самый прикол что я выбрал такие инварианты что нет
24754	не по делу (счёт 0)	Можешь плиз t выписать и t'
24757	не по делу (счёт 0)	T
24759	не по делу (счёт 0)	я реально не понимаю почему не работает так
24760	не по делу (счёт 0)	а не, хуйню несу
24761	не по делу (счёт 0)	дошло вот это
24762	не по делу (счёт 0)	ты прав
24763	не по делу (счёт 0)	бляяяя зачем тестирование свойств добавила, так бы вообще ха
24764	не по делу (счёт 2)	Ну типо у тя изначально надо написать T' так, чтобы она была
24765	не по делу (счёт 2)	эквивалентность означает что сохраняет те же классы эквивале
24766	не по делу (счёт 0)	а тут её нет из-=за разных нормальных форм
24767	не по делу (счёт 0)	Да поидее
24768	не по делу (счёт 0)	ладно, понял
24769	не по делу (счёт 0)	халявы не будет
24771	не по делу (счёт 0)	Как это так то
24772	не по делу (счёт 2)	✨эквивалентность✨
24773	не по делу (счёт 2)	Но я сам хз, когда мы считаем эквивалентно, а когда ток одно
24774	не по делу (счёт 0)	Да всмысле, в T' водиться же тоже фундированный порядок, зна
24775	не по делу (счёт 0)	Можно поменять да, типа как в конечности проверяем. Повернут
24776	не по делу (счёт 0)	Откуда инфа, что можно в обе стороны просто ставить?
24777	не по делу (счёт 0)	Я такого не видел нигде
24778	не по делу (счёт 0)	Она так ставила, но по каким-то своим причинам будто бы
24779	не по делу (счёт 0)	В конылюэнтности?
24780	не по делу (счёт 0)	Хз
24781	не по делу (счёт 0)	Я не знаю…
24782	не по делу (счёт 0)	А как тогда фундированный порядок проверять если в две сторо
24783	не по делу (счёт 0)	Это же невозможно
24785	не по делу (счёт 0)	@umatnyi не до конца в T надо строку преобразовывать в теста
24786	не по делу (счёт 0)	а, то есть в T мы переписываем просто сколько-то раз?
24787	не по делу (счёт 0)	Берём рандомнуб строку w ее рандмно какое то количество раз 
24788	не по делу (счёт 0)	ну и намудрила
24791	не по делу (счёт 0)	"???
Я взял произв слово A. Отправил его в 1 систему. Выбрал "
24795	не по делу (счёт 0)	Я хз как во второй системе из B обратно A получать
24798	не по делу (счёт 0)	потому что ты по кнуту бендиксу убираешь какие то правила
24799	не по делу (счёт 0)	и добавляешь новые
24800	не по делу (счёт 0)	Бляяяя а как нахуй
24801	не по делу (счёт 0)	skill issue
24802	не по делу (счёт 2)	И в ту и в другую проверить надо что ли?
24803	не по делу (счёт 0)	вот похоже что да
24809	не по делу (счёт 0)	Ну получается мы стрелки не поворачиваем в T' а пробуем прос
24813	не по делу (счёт 0)	бля теперь и я подумал что хуйня какая-то
24814	не по делу (счёт 2)	как проверить что все критические пары пополняемы
24815	не по делу (счёт 0)	это в другую тему вопрос уже если что
24838	не по делу (счёт 0)	система может и пополняема, но ее до конца пополнять будет с
24839	не по делу (счёт 0)	это считается вообще?
24840	не по делу (счёт 0)	Она ж написала что если в 20 знаков уходит, то уже пора стоп
24841	не по делу (счёт 0)	А еще лучше раньше
24842	не по делу (счёт 0)	ну у меня 10-11 букв
24843	не по делу (счёт 0)	но правил то дохера
24844	не по делу (счёт 0)	типа, я предполагаю что моя система на самом деле закончится
24845	не по делу (счёт 0)	но там может быть на 100+ правиле
24846	не по делу (счёт 0)	А ты конечность проверил?
24847	не по делу (счёт 2)	классов эквивалентности?
24848	не по делу (счёт 0)	бесконечно
24886	не по делу (счёт 2)	Верно ли, что T' это исходная система, которую сделали завер
24887	не по делу (счёт 2)	Сделать завершимость не требуется
24888	не по делу (счёт 2)	"нам же нужна конфлюэнтность T' 
( или не нужна ? )
А без зав"
24889	не по делу (счёт 0)	ты конфлюэнтоность достраиваешь по Кнуту Бендиксу
24890	не по делу (счёт 0)	по кнуту бендиксу мы достраиваем локальную конфлюэнтность
24891	не по делу (счёт 0)	Желательно её добиться, но это не всегда возможно
24892	не по делу (счёт 0)	ну и её поидее достаточно
24893	не по делу (счёт 2)	лемма ньюмана говорит, что если система лок конф и завершима
24894	не по делу (счёт 2)	да я понял о чём ты, но если у тя завершимости нет - ты её к
24895	не по делу (счёт 0)	я не уверен, что у нас вообдще есть такой инструментарий
24896	не по делу (счёт 0)	достраивать кого?
24897	не по делу (счёт 2)	систему переписываний
24898	не по делу (счёт 2)	до чего? до завершимости?
24899	не по делу (счёт 2)	если изначально завершимости нет - у нас нет инструментария 
24900	не по делу (счёт 0)	если начать менять напрвление стрелок, то можно достичь
24901	не по делу (счёт 0)	тогда хз
24902	не по делу (счёт 2)	"""Поскольку в T' порядок переписывания фиксирован, эта задача"
24903	не по делу (счёт 0)	потому что это именно свойство конфлюэнтности
24904	не по делу (счёт 2)	"а нам известен лишь 1 способ сделать систему конфл:
сделать "
24905	не по делу (счёт 0)	бляяяя почему ничего не понятно
24906	не по делу (счёт 0)	две недели только кажется что-то яснее, появляются пять нюан
24907	не по делу (счёт 0)	"да она прост не отвечает на вопрос целиком
из моего вопроса,"
24908	не по делу (счёт 0)	skill issue
24909	не по делу (счёт 0)	фактишь
24910	не по делу (счёт 0)	не фактишь
24911	не по делу (счёт 0)	хотя было бы забавно, если она так ответит
24912	не по делу (счёт 0)	она так и ответит
24913	не по делу (счёт 0)	git gut
24932	не по делу (счёт 2)	а куда ей лабу скидывать?
24933	не по делу (счёт 2)	Ты ей скидываешь ссылку на репозиторий свой с лабами
24934	не по делу (счёт 0)	куда скидываешь?
24935	не по делу (счёт 0)	Ну вроде на почту
24936	не по делу (счёт 0)	на какую почту?
24937	не по делу (счёт 0)	Хз)
24938	не по делу (счёт 0)	У меня есть только такая a_nevod@mail.ru. Но кто-то в issue 
24981	не по делу (счёт 0)	"А нормально, что я пополняю и прихожу к двум правилам
b->эпс"
24982	не по делу (счёт 0)	а типо у меня алфавит всего из a и b
24983	не по делу (счёт 0)	да, мы с колей делали этот вариант вчера, у нас то же самое
24984	не по делу (счёт 2)	тогда и автомат будет из 1 вершины эпсилон??
24985	не по делу (счёт 0)	походу
24988	не по делу (счёт 0)	"а мне конечность делать после пополнения или до?
а то без по"
24989	не по делу (счёт 2)	Ребят, кто лабу уже сдал?
24991	не по делу (счёт 2)	если у тебя пропал цикл, по которому ты доказал незавершимос
24992	не по делу (счёт 2)	да вроде стала завершимой
24994	не по делу (счёт 0)	По идее
24995	не по делу (счёт 0)	Почему
24996	не по делу (счёт 0)	Ты по бендиксу пополняешь правилами только с нф
24997	не по делу (счёт 0)	Нф -> нф
24998	не по делу (счёт 0)	Поэтому ты не можешь убрать цикл
24999	не по делу (счёт 0)	Потому что в цикле нет нф
25000	не по делу (счёт 0)	А как ты поймешь куда стрелку ставить?
25001	не по делу (счёт 0)	По фундированному порядку
25002	не по делу (счёт 2)	У меня не завершима система
25003	не по делу (счёт 0)	Поменяй направления правил и введи порядок
25004	не по делу (счёт 0)	Вроде так можно
25005	не по делу (счёт 2)	Когда я меняю направления правил система завершимой становит
25006	не по делу (счёт 0)	В этом и вопрос
25007	не по делу (счёт 0)	А
25008	не по делу (счёт 0)	А для бендикса нужна фундированность
25009	не по делу (счёт 0)	Она не говорила случайно что при пополнении надо выкинуть пр
25010	не по делу (счёт 0)	если матрицу Бендикса строишь, то надо
25011	не по делу (счёт 0)	Хорошо
25012	не по делу (счёт 2)	Ребят, очень срочно, скиньте из лекций определение классов э
25043	не по делу (счёт 2)	кто лабу сдал уже, можете показать че вы ей закинули пожалуй
25045	не по делу (счёт 0)	На Гите все @kms-qwe репозиторий FLT
25054	не по делу (счёт 2)	для доказательства завершимости подойдут абсолютно любые при
25056	не по делу (счёт 0)	вроде можно что угодно придумывать, ну сумму позиций как буд
25059	не по делу (счёт 0)	типо аав = 1+2 = 3, а вав = 2?
25060	не по делу (счёт 0)	да
25061	не по делу (счёт 0)	подойдут
25062	не по делу (счёт 0)	спасибо
25063	не по делу (счёт 0)	@a_brysh он точно скажет, но по идеи да
25064	не по делу (счёт 0)	Эта норм
25065	не по делу (счёт 0)	всем спасибо!
25066	не по делу (счёт 0)	Если мы какими то преобразованиями из слова можем получить с
25067	не по делу (счёт 0)	почему ?
25068	не по делу (счёт 0)	ну типа оно не приведется
25069	не по делу (счёт 0)	введи другой фунд порядок
25070	не по делу (счёт 0)	Да
25077	не по делу (счёт 2)	кто-нибудь закончил лабу? можете скинуть пожалуйста, просто 
25101	не по делу (счёт 0)	На гите смотри
25102	не по делу (счёт 0)	Там сдали уже несколько человек
25110	не по делу (счёт 0)	да, уже нашел
25111	не по делу (счёт 0)	спасибо
25112	не по делу (счёт 0)	вот эту она приняла уже
25113	не по делу (счёт 0)	https://github.com/grilzzz/tfl/tree/main/lab1
25114	не по делу (счёт 0)	мою посмотрла
25115	не по делу (счёт 0)	её как раз и смотрю) спасибо ещё раз)
25116	не по делу (счёт 2)	Она же тебе говорила что твои прошлогодние лабы по тфя сохра
25117	не по делу (счёт 2)	ну да, только у меня всего 2 лабы сдано в прошлом году
25118	не по делу (счёт 0)	и то почти на минималку
25119	не по делу (счёт 0)	Ну так этого года тоже баллы дает
25120	не по делу (счёт 0)	посоветуйте как найти инварианты для метаморфного
25121	не по делу (счёт 0)	у меня кроме того что длина строки сохраняется, вообще ничег
25122	не по делу (счёт 2)	мне желательно ещё 2 лабы сдать и вместе с двумя рк на миним
25123	не по делу (счёт 0)	может какой сайт есть или волшебный промпт в гпт
25124	не по делу (счёт 2)	понимаете 3 лабы по минималке и два рк по минималке это вооб
25125	не по делу (счёт 0)	это меньше
25126	не по делу (счёт 2)	то есть на экзамене придется сильнее заебаться
25127	не по делу (счёт 0)	https://chatgpt.com/
25128	не по делу (счёт 0)	да понятно, только он не помогает
25129	не по делу (счёт 0)	а у тебя платный?
25130	не по делу (счёт 0)	может быть волшебный промпт о котором я не знаю существует
25131	не по делу (счёт 0)	нет
25132	не по делу (счёт 0)	а, ну тогда потрачено
25134	не по делу (счёт 0)	он 15 минут над этим думал
25135	не по делу (счёт 0)	https://www.gap-system.org/
25136	не по делу (счёт 0)	вот эта шутка вроде на пополняемость может делать
25137	не по делу (счёт 0)	сам не проверял, но говорят раобтает
25138	не по делу (счёт 0)	можете пробнуть, кому интересно
25139	не по делу (счёт 0)	самый рофлан что это правильно
25140	не по делу (счёт 0)	есть кто сделал, у кого конечно пополняема по КБ?
25141	не по делу (счёт 0)	у меня апрувнуто, хз сдал это или нет
25142	не по делу (счёт 0)	Кинь в лс пожалуйста
25143	не по делу (счёт 0)	сколько тонита по времени проверяет?
25144	не по делу (счёт 0)	)
25145	не по делу (счёт 0)	по настроению
25146	не по делу (счёт 0)	последние два дня она пропала из гитхаба
25147	не по делу (счёт 0)	а что еслиу меня 1 инвариант очевидный, а второй ебанутый?
25148	не по делу (счёт 0)	а я правильно помню, что она говорила что если в пополнении 
25149	не по делу (счёт 0)	она доп баллпоставит за ебанутый?
25150	не по делу (счёт 0)	да
25151	не по делу (счёт 0)	у меня так же
25152	не по делу (счёт 0)	а надо как то аргументировать
25153	не по делу (счёт 0)	что не сойдется
25154	не по делу (счёт 0)	или норм что их уже много просто
25155	не по делу (счёт 0)	я не знаю как аргументировать свою
25156	не по делу (счёт 0)	поэтому я сказал что просто оставим несколько красивых прави
25157	не по делу (счёт 0)	"даже если и сойдётся
цитата
""система должна быть удобной в и"
25158	не по делу (счёт 0)	не сходится в разумных пределах - там какая-то такая фраза б
25162	не по делу (счёт 0)	Проверяет она быстро, проблема в том что редко и рандомно
25163	не по делу (счёт 0)	Рандомно в смысле по времени, а так она всех разом проверяет
25164	не по делу (счёт 0)	Она может начать проверять спустя несколько недель после дед
25165	не по делу (счёт 0)	как колыван короче
25174	не по делу (счёт 0)	А день дедлайна завтра или послезавтра?
25175	не по делу (счёт 0)	12
25176	не по делу (счёт 0)	То есть завтра еще можно сдавать без минуса к репутации?
25177	не по делу (счёт 0)	Завтра какое число?
25178	не по делу (счёт 0)	А ебать, завтра вообще 10
25179	не по делу (счёт 0)	Я думал сб это 12
25184	не по делу (счёт 2)	если у меня SRS сразу же в нескольких местах локально конфлю
25185	не по делу (счёт 0)	это что значит?
25187	не по делу (счёт 0)	даже искать не надо
25188	не по делу (счёт 0)	и что
25189	не по делу (счёт 0)	Там же по идее если хоть одна строка-пример не локально конф
25190	не по делу (счёт 0)	блин, я думал наоборот
25191	не по делу (счёт 0)	спасибо!
25192	не по делу (счёт 0)	Я сам не уверен
25200	не по делу (счёт 0)	А если нет, то нет?
25201	не по делу (счёт 0)	ну у тя будут какие-то конкретные случаи, которые не факт, ч
25202	не по делу (счёт 0)	они могут и получиться, а могут и не получиться
25203	не по делу (счёт 0)	Понятно, спасибо
25204	не по делу (счёт 2)	потому что если система не пополнима - то ты не получил полн
25205	не по делу (счёт 0)	"Но ведь ты и не рассматриваешь абсолютно все варианты? 
По с"
25206	не по делу (счёт 0)	ну да, внутри разумных значений да
25207	не по делу (счёт 0)	но он же написал всегда, всегда не факт
25208	не по делу (счёт 0)	но в 99% адекватных случаев должна
25209	не по делу (счёт 0)	завтра тфя отменили. Дедлайн продлился до 19го. Это последне
25210	не по делу (счёт 0)	вся инфа у нее на гите
25211	не по делу (счёт 0)	Там вроде про дедлайн инфа только, пар тож не будет?
25212	не по делу (счёт 0)	Она заболела
25214	не по делу (счёт 0)	НААААААЙС
25215	не по делу (счёт 0)	збс
